timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1723892733296,411,POST method Create User,200,OK,Load Configuration 1-47,text,true,,874,243,7,7,https://reqres.in/api/login,411,0,0
1723892733481,253,Get Single User,200,OK,Load Configuration 1-51,text,true,,1979,244,6,6,https://reqres.in/api/users/2,80,0,39
1723892733481,80,Get Single User-0,301,Moved Permanently,Load Configuration 1-51,text,true,,789,122,6,6,http://reqres.in/api/users/2,80,0,39
1723892733561,173,Get Single User-1,200,OK,Load Configuration 1-51,text,true,,1190,122,6,6,https://reqres.in/api/users/2,173,0,125
1723892733581,290,Get Single User,200,OK,Load Configuration 1-52,text,true,,1975,244,7,7,https://reqres.in/api/users/2,96,0,26
1723892733581,96,Get Single User-0,301,Moved Permanently,Load Configuration 1-52,text,true,,785,122,7,7,http://reqres.in/api/users/2,96,0,26
1723892733678,193,Get Single User-1,200,OK,Load Configuration 1-52,text,true,,1190,122,7,7,https://reqres.in/api/users/2,193,0,82
1723892733376,495,POST method Create User,200,OK,Load Configuration 1-48,text,true,,874,243,7,7,https://reqres.in/api/login,495,0,0
1723892733477,454,POST method Create User,200,OK,Load Configuration 1-49,text,true,,874,243,7,7,https://reqres.in/api/login,454,0,0
1723892733681,270,Get Single User,200,OK,Load Configuration 1-53,text,true,,1973,244,6,6,https://reqres.in/api/users/2,64,0,26
